aX,aY,aZ,rX,rY,rZ
-0.29,0.56,6.66,1.64,1.2,0.83
-3.25,1.93,16.23,0.16,3.65,3.39
-9.45,-0.43,14.26,-5.71,0.35,-0.37
-7.02,1.5,1.75,-3.98,2.36,-3.1
-3.71,2.82,-4.44,0.95,1.73,-3.25
3.26,2.91,2.05,7.35,1.08,-1.61
0.68,-4.43,22.16,1.35,-1.17,4.97
-8.66,-4.02,9.56,-2.64,-0.73,3.52
-7.33,-0.65,-0.19,-1.09,-0.72,0.24
-5.17,0.57,0.8,3.6,-0.07,-1.65
0.79,5.35,18.37,5.68,0.14,-3.45
0.53,1.3,12.73,0.46,-1.27,0.45
-1.43,1.39,9.06,-0.57,0.01,0.42
-2.26,0.95,9.29,-0.47,-0.08,0.35
-1.91,0.89,9.36,-0.37,-0.05,0.11
-1.07,1.01,9.36,-0.08,0.06,0.11
