aX,aY,aZ,rX,rY,rZ
-2.3,0.83,9.16,-0.18,-0.37,-0.07
-1.73,1.0,9.09,0.26,-0.11,0.38
-1.83,2.63,8.75,0.55,0.93,1.78
-3.84,2.36,8.87,-0.05,0.48,0.71
-2.0,2.91,8.33,0.09,-0.36,0.15
-3.1,2.81,9.78,-0.07,0.6,1.42
-13.79,-1.31,12.63,-3.85,7.21,-2.53
-7.29,2.36,6.41,-3.72,3.86,-7.65
-1.52,-3.99,1.44,-1.35,0.66,-1.67
-2.76,-6.77,-0.88,-0.35,0.27,-0.54
-3.11,-7.51,-1.81,0.51,0.32,0.25
-3.39,-2.43,-0.63,6.28,-1.53,2.11
-2.58,7.11,15.96,8.73,-3.57,1.74
1.65,4.65,15.5,0.41,1.1,-0.25
0.59,3.82,9.69,-0.1,-0.14,0.31
-0.43,3.46,9.17,-0.44,0.42,0.12
-0.49,3.26,9.34,-0.61,0.39,0.16
-1.14,2.96,10.44,-0.87,-0.19,0.37
0.25,2.98,9.64,-0.61,0.04,0.11
