-0.64,0.53,8.48,-0.5,0.35,0.2
-0.7,1.63,8.52,0.19,0.24,1.01
-3.09,0.68,10.98,-0.04,0.66,0.67
-8.5,-1.76,15.28,-1.8,1.28,0.29
-6.31,-0.09,12.02,-2.96,0.44,-2.74
-1.41,-0.25,6.96,-2.57,0.33,-2.52
0.11,-3.77,5.07,-1.19,0.03,-0.54
-0.74,-4.34,2.19,-0.33,0.11,-0.2
-2.5,-2.68,0.21,1.58,0.57,-0.28
-4.88,-0.16,4.63,5.98,0.88,-1.28
-3.44,3.47,19.2,2.81,1.04,0.13
-2.34,1.41,13.5,-0.01,-0.21,0.33
-3.46,1.22,9.52,-0.51,-0.12,0.38
-3.44,1.58,8.71,-0.17,-0.2,0.09
-3.14,1.84,9.2,-0.02,-0.35,0.01
-3.7,1.38,8.97,0.77,-0.63,-0.76
