aX,aY,aZ,rX,rY,rZ
0.59,1.43,7.96,-0.43,0.35,0.17
-1.04,0.89,8.66,0.38,0.04,1.18
-1.24,0.78,9.95,0.26,0.15,0.36
-3.56,0.39,10.3,-0.15,0.67,0.48
-9.43,-2.8,17.18,-1.56,2.79,-1.35
-3.48,-0.55,12.35,-3.11,0.72,-2.36
-1.58,-1.1,5.08,-2.67,0.35,-1.36
-0.69,-4.51,2.44,-1.23,0.1,-0.89
-1.73,-3.79,-1.37,0.01,0.5,-0.05
-3.82,-1.04,-1.92,3.73,1.08,-0.31
-9.95,2.09,11.79,7.17,2.08,-0.61
-2.73,1.58,16.34,2.6,0.54,0.21
-3.36,0.56,11.17,0.03,-0.39,0.46
-4.57,1.16,8.06,-0.38,-0.66,0.32
-4.17,1.24,8.52,0.07,0.02,-0.06
